time,wind_speed_10m,temperature_2m,cloud_cover,relative_humidity_2m,surface_pressure,apparent_temperature,precipitation,vapour_pressure_deficit
2021-01-01 00:00:00,26.14403,19.5,100.0,70.98951,1020.2892,17.023354,0.0,0.65787196
2021-01-01 01:00:00,24.192429,19.5,100.0,68.94631,1019.78986,17.147188,0.0,0.7042248
2021-01-01 02:00:00,23.565569,19.35,99.0,67.36236,1019.09,16.914827,0.0,0.7333046
2021-01-01 03:00:00,24.192429,19.2,91.0,68.21654,1018.5901,16.690643,0.0,0.70748234
2021-01-01 04:00:00,23.838959,19.25,100.0,66.90323,1018.8901,16.706848,0.0,0.73902094
2021-01-01 05:00:00,27.722336,19.1,84.0,69.54375,1019.18866,16.145054,0.0,0.67372596
2021-01-01 06:00:00,26.596178,19.15,64.0,67.7626,1019.6884,16.238781,0.0,0.715364
2021-01-01 07:00:00,25.922499,19.55,55.0,73.09462,1020.0897,17.289177,0.0,0.61201096
2021-01-01 08:00:00,26.208397,19.7,89.0,69.8865,1020.8894,17.195799,0.0,0.69140935
2021-01-01 09:00:00,27.169865,19.95,57.0,67.92489,1021.38965,17.233696,0.0,0.74794376
2021-01-01 10:00:00,25.992397,20.5,34.0,65.01823,1021.39233,17.901833,0.0,0.84389424
2021-01-01 11:00:00,25.944988,20.4,74.0,67.358574,1020.99243,17.970022,0.0,0.782578
2021-01-01 12:00:00,26.099379,20.15,88.0,69.74742,1020.292,17.807447,0.2,0.7141913
2021-01-01 13:00:00,25.809765,20.15,100.0,69.29807,1019.3932,17.812874,0.1,0.7248039
2021-01-01 14:00:00,25.478743,19.95,100.0,69.25896,1018.8928,17.58826,0.1,0.71682143
2021-01-01 15:00:00,25.0064,19.85,97.0,68.56916,1018.79266,17.467113,0.1,0.72839713
2021-01-01 16:00:00,22.870626,19.65,100.0,68.75232,1018.8916,17.525248,0.5,0.7152436
2021-01-01 17:00:00,21.26744,19.6,100.0,67.85401,1019.2907,17.621021,0.1,0.73353887
2021-01-01 18:00:00,21.817902,19.65,100.0,66.98614,1019.59076,17.538494,0.0,0.75568867
